-Run beet to update columns 4-9

.Mob,.Soul Essence,Base,L I,L II,L III,.,K/E (L III),K/S (L III)
tropical_fish,gliding,0.065%,0.26%,1.625%,5.33%,,18.8,243.9
turtle,anchoring,0.06%,0.24%,1.5%,4.92%,,20.3,264.2
turtle,bubbly,0.1%,0.4%,2.5%,8.2%,,12.2,158.5
turtle,enduring,0.06%,0.24%,1.5%,4.92%,,20.3,264.2
turtle,gliding,0.08%,0.32%,2.0%,6.56%,,15.2,198.2
vex,phasing,0.012%,0.048%,0.3%,0.98%,,101.6,1321.1
vex,soaring,0.003%,0.012%,0.075%,0.25%,,406.5,5284.6
villager,bargaining,0.04%,0.16%,1.0%,3.28%,,30.5,396.3
vindicator,rushing,0.008%,0.032%,0.2%,0.66%,,152.4,1981.7
wandering_trader,bargaining,0.83%,3.32%,20.75%,68.06%,,1.5,19.1
wandering_trader,vanishing,0.56%,2.24%,14.0%,45.92%,,2.2,28.3
warden,anchoring,0.5%,2.0%,12.5%,41.0%,,2.4,31.7
warden,bashing,0.45%,1.8%,11.25%,36.9%,,2.7,35.2
warden,enduring,0.4%,1.6%,10.0%,32.8%,,3.0,39.6
warden,incombustible,0.35%,1.4%,8.75%,28.7%,,3.5,45.3
warden,shrieking,0.2%,0.8%,5.0%,16.4%,,6.1,79.3
witch,neutralizing,0.015%,0.06%,0.375%,1.23%,,81.3,1056.9
wither,enduring,0.045%,0.18%,1.125%,3.69%,,27.1,352.3
wither,lifeless,0.05%,0.2%,1.25%,4.1%,,24.4,317.1
wither,soaring,0.02%,0.08%,0.5%,1.64%,,61.0,792.7
wither,withering,0.3%,1.2%,7.5%,24.6%,,4.1,52.8
wither_skeleton,lifeless,0.012%,0.048%,0.3%,0.98%,,101.6,1321.1
wither_skeleton,rushing,0.03%,0.12%,0.75%,2.46%,,40.7,528.5
wither_skeleton,withering,0.01%,0.04%,0.25%,0.82%,,122.0,1585.4
wolf,aggressive,0.07%,0.28%,1.75%,5.74%,,17.4,226.5
wolf,synergetic,0.1%,0.4%,2.5%,8.2%,,12.2,158.5
zoglin,aggressive,0.05%,0.2%,1.25%,4.1%,,24.4,317.1
zoglin,anchoring,0.03%,0.12%,0.75%,2.46%,,40.7,528.5
zoglin,bashing,0.04%,0.16%,1.0%,3.28%,,30.5,396.3
zoglin,incombustible,0.04%,0.16%,1.0%,3.28%,,30.5,396.3
zoglin,lifeless,0.06%,0.24%,1.5%,4.92%,,20.3,264.2
zombie,lifeless,0.005%,0.02%,0.125%,0.41%,,243.9,3170.7
zombie_nautilus,bubbly,0.21%,0.84%,5.25%,17.22%,,5.8,75.5
zombie_nautilus,gliding,0.18%,0.72%,4.5%,14.76%,,6.8,88.1
zombie_nautilus,dashing,0.09%,0.36%,2.25%,7.38%,,13.6,176.2
zombie_nautilus,lifeless,0.15%,0.6%,3.75%,12.3%,,8.1,105.7
zombie_horse,bounding,0.05%,0.2%,1.25%,4.1%,,24.4,317.1
zombie_horse,lifeless,0.03%,0.12%,0.75%,2.46%,,40.7,528.5
zombie_villager,lifeless,0.01%,0.04%,0.25%,0.82%,,122.0,1585.4
zombified_piglin,aggressive,0.006%,0.024%,0.15%,0.49%,,203.3,2642.3
zombified_piglin,incombustible,0.0048%,0.019%,0.12%,0.39%,,254.1,3302.8
zombified_piglin,lifeless,0.0055%,0.022%,0.137%,0.45%,,221.7,2882.5
zombified_piglin,rushing,0.0037%,0.015%,0.093%,0.3%,,329.6,4284.8
